intensified-grew, 31, 887, 856
received-got, 1269, 2289, 1020
sovereign-ruler, 164, 317, 153
sovereign-king, 164, 4020, 3856
installment-episode, 29, 1081, 1052
installment-part, 29, 9639, 9610
obligated-required, 3, 497, 494
obligated-forced, 3, 658, 655
published-written, 1933, 3474, 1541
published-printed, 1933, 399, -1534
carcass-body, 9, 3024, 3015
satellite-moon, 199, 1014, 815
ancient-old, 1832, 3905, 2073
practice-habit, 598, 63, -535
practice-way, 598, 4850, 4252
edited-changed, 110, 2218, 2108
edited-revised, 110, 69, -41
invaded-attacked, 237, 511, 274
antagonist-enemy, 31, 358, 327
combat-fight, 158, 1161, 1003
predominantly-mainly, 47, 1245, 1198
predominantly-mostly, 47, 1850, 1803
retired-former, 823, 3801, 2978
retired-quit, 823, 177, -646
founded-created, 1688, 2798, 1110
founded-started, 1688, 5290, 3602
longevity-old, 25, 3905, 3880
settled-moved, 380, 2582, 2202
produced-created, 1612, 2798, 1186
produced-made, 1612, 14828, 13216
competitions-contests, 189, 50, -139
footballer-player, 97, 6934, 6837
footballer-athlete, 97, 107, 10
conceals-hides, 5, 41, 36
express-show, 383, 4143, 3760
